text,sentiment
I love this product,positive
This is terrible,negative
It was okay,neutral
Absolutely fantastic experience,positive
Worst service ever,negative
I feel so happy today,positive
I don’t like this,negative
Nothing special,neutral
Pretty good,positive
Could be better,neutral
I hate it,negative
This made my day,positive
Not impressed,negative
It’s fine I guess,neutral
Really enjoyed this,positive
Very disappointing,negative
I’m satisfied,positive
I’m not sure,neutral
Amazing results,positive
Bad idea,negative
So happy with this,positive
Didn’t work for me,negative
Neither good nor bad,neutral
Exceeded my expectations,positive
Total waste of time,negative
Good enough,neutral
Highly recommend it,positive
Won’t buy again,negative
Average,neutral
Truly wonderful,positive
Awful experience,negative
Fairly decent,neutral
Loved every part of it,positive
Disliked it a lot,negative
Just okay,neutral
Superb quality,positive
Terrible mistake,negative
Meh,neutral
Incredible outcome,positive
Horrible service,negative
Neutral thoughts,neutral
Perfect choice,positive
Very bad,negative
So-so,neutral
This was delightful,positive
Extremely poor,negative
Nothing to say,neutral
Really nice,positive
Such a pain,negative
Neither here nor there,neutral
Awesome work,positive
Wouldn’t recommend,negative
Kind of average,neutral
Outstanding effort,positive
Regret buying it,negative
Indifferent,neutral
Brilliant,positive
Big letdown,negative
Moderate,neutral
So impressive,positive
Disastrous,negative
Middle of the road,neutral
Spectacular,positive
Very dissatisfied,negative
Plain,neutral
Thrilled about this,positive
Hated it,negative
Unremarkable,neutral
Fabulous,positive
Utterly bad,negative
Mixed feelings,neutral
So good,positive
Worst ever,negative
Balanced view,neutral
Phenomenal,positive
Miserable,negative
Ordinary,neutral
Absolutely loved it,positive
Tragic,negative
No opinion,neutral
Mind-blowing,positive
Pathetic,negative
Neither positive nor negative,neutral
Fantastic,positive
Waste of money,negative
Mediocre,neutral
Adored it,positive
Terrible choice,negative
So average,neutral
Marvelous,positive
Not worth it,negative
Not bad,neutral
Glorious,positive
Very upset,negative
Could be worse,neutral
Exceptional,positive
Horrid,negative
Unsure,neutral
Excellent,positive
Disgusting,negative
Could go either way,neutral
I love this product,positive
This is terrible,negative
It was okay,neutral
Absolutely fantastic experience,positive
Worst service ever,negative
I feel so happy today,positive
I don’t like this,negative
Nothing special,neutral
Pretty good,positive
Could be better,neutral
I hate it,negative
This made my day,positive
Not impressed,negative
It’s fine I guess,neutral
Really enjoyed this,positive
Very disappointing,negative
I’m satisfied,positive
I’m not sure,neutral
Amazing results,positive
Bad idea,negative
So happy with this,positive
Didn’t work for me,negative
Neither good nor bad,neutral
Exceeded my expectations,positive
Total waste of time,negative
Good enough,neutral
Highly recommend it,positive
Won’t buy again,negative
Average,neutral
Truly wonderful,positive
Awful experience,negative
Fairly decent,neutral
Loved every part of it,positive
Disliked it a lot,negative
Just okay,neutral
Superb quality,positive
Terrible mistake,negative
Meh,neutral
Incredible outcome,positive
Horrible service,negative
Neutral thoughts,neutral
Perfect choice,positive
Very bad,negative
So-so,neutral
This was delightful,positive
Extremely poor,negative
Nothing to say,neutral
Really nice,positive
Such a pain,negative
Neither here nor there,neutral
Awesome work,positive
Wouldn’t recommend,negative
Kind of average,neutral
Outstanding effort,positive
Regret buying it,negative
Indifferent,neutral
Brilliant,positive
Big letdown,negative
Moderate,neutral
So impressive,positive
Disastrous,negative
Middle of the road,neutral
Spectacular,positive
Very dissatisfied,negative
Plain,neutral
Thrilled about this,positive
Hated it,negative
Unremarkable,neutral
Fabulous,positive
Utterly bad,negative
Mixed feelings,neutral
So good,positive
Worst ever,negative
Balanced view,neutral
Phenomenal,positive
Miserable,negative
Ordinary,neutral
Absolutely loved it,positive
Tragic,negative
No opinion,neutral
Mind-blowing,positive
Pathetic,negative
Neither positive nor negative,neutral
Fantastic,positive
Waste of money,negative
Mediocre,neutral
Adored it,positive
Terrible choice,negative
So average,neutral
Marvelous,positive
Not worth it,negative
Not bad,neutral
Glorious,positive
Very upset,negative
Could be worse,neutral
Exceptional,positive
Horrid,negative
Unsure,neutral
Excellent,positive
Disgusting,negative
Could go either way,neutral
Love the vibes,positive
Such poor quality,negative
Nothing new,neutral
Amazing taste,positive
Truly terrible,negative
Hard to say,neutral
Perfect results,positive
Regrettable,negative
Neither bad nor good,neutral
Delightful,positive
So much regret,negative
Indifferent about it,neutral
Superb,positive
Horrendous,negative
No feelings,neutral
Absolutely amazing,positive
So disappointed,negative
Nothing much to say,neutral
Best decision ever,positive
Horrible taste,negative
Neither happy nor sad,neutral
Super excited,positive
Won’t buy this again,negative
Seems fine,neutral
Highly satisfied,positive
Truly awful,negative
No strong feelings,neutral
Wonderful purchase,positive
Regretted this,negative
Average quality,neutral
Overjoyed,positive
Terrible outcome,negative
Hard to decide,neutral
Can’t get enough,positive
Waste of money,negative
it’s okay,neutral
So worth it,positive
Very unhappy,negative
Doesn’t matter much,neutral
Best ever,positive
Absolutely dreadful,negative
Neutral review,neutral
Pure bliss,positive
Such a shame,negative
It’s acceptable,neutral
Fantastic product,positive
Complete failure,negative
Mild feelings,neutral
Exceeded all hopes,positive
Worst I’ve seen,negative
So-so,neutral
Dream come true,positive
Bitter experience,negative
Mixed thoughts,neutral
Simply perfect,positive
Such bad quality,negative
Neither great nor awful,neutral
In love with this,positive
Truly disappointing,negative
Unmoved,neutral
Genuinely good,positive
So much hate,negative
I don’t care,neutral
Very pleased,positive
Catastrophic,negative
Pretty average,neutral
Joyful,positive
Major letdown,negative
Balanced opinion,neutral
Pure happiness,positive
So frustrating,negative
Neutral stand,neutral
This is brilliant,positive
A big flop,negative
No big deal,neutral
Incredible feeling,positive
Hated every bit,negative
Doesn’t affect me,neutral
Absolutely stunning,positive
Really poor,negative
It’s whatever,neutral
Brings me joy,positive
Extremely dissatisfied,negative
Middle ground,neutral
Marvelous idea,positive
Horrid result,negative
Neutral impact,neutral
Such a delight,positive
So bad,negative
No reaction,neutral
Feels amazing,positive
Worst ever,negative
I’m indifferent,neutral
Thrilled,positive
Truly pathetic,negative
It’s fine,neutral
Brightened my day,positive
Worst mistake,negative
Mixed bag,neutral
Best purchase,positive
Highly regret,negative
No interest,neutral
So nice,positive
Terribly done,negative
No real opinion,neutral
Superb find,positive
Deep regret,negative
Neutral feel,neutral
Happy with it,positive
Truly worthless,negative
Not too bothered,neutral
